1. package id: 1003, time: 00:07, node: Costumer 1, status: CREATION, costumer SN: 1
2. package id: 1003, time: 00:07, node: Van 2006, status: COLLECTION, costumer SN: 1
3. package id: 1004, time: 00:10, node: Costumer 2, status: CREATION, costumer SN: 2
4. package id: 1004, time: 00:10, node: Van 2007, status: COLLECTION, costumer SN: 2
5. package id: 1005, time: 00:13, node: Costumer 1, status: CREATION, costumer SN: 1
6. package id: 1005, time: 00:14, node: Van 2008, status: COLLECTION, costumer SN: 1
7. package id: 1006, time: 00:20, node: Costumer 2, status: CREATION, costumer SN: 2
8. package id: 1006, time: 00:20, node: Van 2009, status: COLLECTION, costumer SN: 2
9. package id: 1007, time: 00:23, node: Costumer 1, status: CREATION, costumer SN: 1
10. package id: 1007, time: 00:23, node: Van 2010, status: COLLECTION, costumer SN: 1
11. package id: 1008, time: 00:33, node: Costumer 1, status: CREATION, costumer SN: 1
12. package id: 1009, time: 00:36, node: Costumer 2, status: CREATION, costumer SN: 2
13. package id: 1010, time: 00:42, node: Costumer 1, status: CREATION, costumer SN: 1
14. package id: 1011, time: 00:46, node: Costumer 2, status: CREATION, costumer SN: 2
15. package id: 1003, time: 00:47, node: Branch 1, status: BRANCH_STORAGE, costumer SN: 1
16. package id: 1005, time: 00:53, node: Branch 1, status: BRANCH_STORAGE, costumer SN: 1
17. package id: 1008, time: 00:53, node: Van 2006, status: COLLECTION, costumer SN: 1
18. package id: 1009, time: 00:53, node: Van 2008, status: COLLECTION, costumer SN: 2
19. package id: 1012, time: 00:58, node: Costumer 2, status: CREATION, costumer SN: 2
20. package id: 1007, time: 01:03, node: Branch 1, status: BRANCH_STORAGE, costumer SN: 1
21. package id: 1004, time: 01:10, node: Branch 1, status: BRANCH_STORAGE, costumer SN: 2
22. package id: 1010, time: 01:10, node: Van 2010, status: COLLECTION, costumer SN: 1
23. package id: 1011, time: 01:10, node: Van 2007, status: COLLECTION, costumer SN: 2
24. package id: 1006, time: 01:20, node: Branch 1, status: BRANCH_STORAGE, costumer SN: 2
25. package id: 1008, time: 01:34, node: Branch 1, status: BRANCH_STORAGE, costumer SN: 1
26. package id: 1012, time: 01:34, node: Van 2009, status: COLLECTION, costumer SN: 2
27. package id: 1010, time: 01:50, node: Branch 1, status: BRANCH_STORAGE, costumer SN: 1
28. package id: 1009, time: 01:53, node: Branch 1, status: BRANCH_STORAGE, costumer SN: 2
